texts, polarity, subjectivity
We can not be foreigners in our own land ~ Chairman^ Somali Community in South Africa tells fellow Africans,0.6,1
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
The spirit has been awaken. A fearlessness to dare. I saw the energy and the awakening in Nigerians today at S…,0,0
After this xenophobia clean up is over^ we are going to donate Toke Makinwa^ MI Abaga and Kate Henshaw to South Africa.…,0.366666667,0.7
powerful message. So touching 💔💔💔,0.4,0.75
Long ago the 2 nations lived together with each others problems^ then everything changed when xenophobia attacked^…,-0.05,0.4
PEP Stores Bode Thomas outlet Surulere being looted earlier this evening. Sordid &amp; sad sight IMO!!!,-0.48828125,0.75
This actually makes sense now,0,0.1
The one who killed his brother is not a warrior. - Igbo Proverb,-0.2,0
Some Nigerians have started looting shops around Surulere^ at least the ones I've seen (PEP stores) Some of the people…,-0.3,0.4
During the apartheid era in Nigeria was one of the foremost supporters of anti-apartheid movements. The Nigeri…,0,0
Peruzzi to AKA - Come to Nigeria Burna boy to AKA - Next time I see you^ you’d need security Nigerians to AKA - Come to…,0,0
But really tho as a person everything that describes me is just so discriminated against. I am a female I am black I am an Af…,0.011111111,0.266666667
Someone said Shatta Wale doesn't understand the word 'Xenophobia' like he tweet already. 😂,0,0
I'm almost certain that most of the people who vandalized^ looted and wreaked havoc today on Lagos streets^ can't spell xen…,0.357142857,0.535714286
🎥: Listen to this Professor explain the history of Xenophobia earlier this year when Malawi citizens were attacked in S…,0,0.5
Xenophobia - homophobia I still don't understand how you think SMH,0,0
South Africans are known for bickering and xenophobia. They've always had this issue with Nigerians. In 2007^ Ico…,0,0
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
When people are not sure about their future^ when their economies are suffering^ when their personal fortunes are flagging…,-0.083333333,0.437962963
I'm almost certain that most of the people who vandalized^ looted and wreaked havoc today on Lagos streets^ can't spell xen…,0.357142857,0.535714286
Xenophobia: Don’t Attack South African Businesses^ Nigerian Govt Urges Citizens,0,0
There is no justification whatsoever to taking a human life. South Africans should employ legal mechanisms to deal with…,0.1,0.15
"@gidifeedtv: Nelson Mandela thanking Nigeria for fighting against apartheid. Nigeria gave black South Africans free educ…,0.11666666666666668,0.6166666666666667
powerful message. So touching 💔💔💔,0.4,0.75
We are not fighting them..we don kill ",0,0
In our stance against we extend a hand of love to helping Nigerians in South Africa willing to return home^ a…,0.375,0.675
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
Imagine serving 27 years in prison for south Africans? Mandela really played himself!,0.25,0.2
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
“Boycotting South African Businesses Not Solution To Xenophobia” – Ycee,0,0
There can be no justification for any South African to attack people from other countries. These…,-0.0625,0.1875
Tomorrow at 13 people are gathering at Crossroads Mall to march to the S.A. Embassy in a peaceful protest to show displeas…,0.25,0.5
Dear Nigerian leaders^ when your escorts slap us on the road and SARS officers shoot us dead while police brutality is use…,-0.2,0.4
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
Rape ka mo^ murder ka kwa^ xenophobia and looting over there^ cars^ people and buildings are being burnt. What the fuck.,-0.4,0.6
I think Burna boy is Right in defending his country but those tweets from AKA was purely about football and nothing to…,0.25,0.517857143
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
The xenophobia attacked caused by south Africa people to their fellow blacks it shows that a native of south Africa is lazy^ ar…,-0.25,1
Xenophobia: We’ve Made Concrete Proposal To South African Government^ Says Nigeria’s Foreign Affairs Minister…,0.008333333,0.141666667
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
Stop killing yourselves^ stop fighting at all,0,0
Even in xenophobia moments you people still want mention ^ but hate to admit he's your biggest nightmare and head…,-0.8,0.9
Happening Now: Angry women disrupt sales at Shoprite Lekki in retaliation to the ongoing,-0.5,1
PEP Stores Bode Thomas outlet Surulere being looted earlier this evening. Sordid &amp; sad sight IMO!!!,-0.48828125,0.75
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
This is a friend's brother in-laws shop being burnt down yesterday. Can you hear the pain in his voice?,-0.155555556,0.288888889
There are actually some educated illiterates that agree with Xenophobia. Na God go punish una! The heroes and legends you w…,0,0.1
